player,round,opponent,city,state,region,song_chart,chartsteps,steps,score,perfects,greats,goods,bads,misses,max.combo,grade,noteskin,order,player_side,velocity,gender,fd,perfects_ratio,greats_ratio,goods_ratio,bads_ratio,misses_ratio,max_combo_ratio,matchup,titles,lon,lat,locations
chaddly,2,jboy,New Orleans,LA,nola,point_zero_one_d22,1325,1323,8005800,1295,26,1,1,2,1256,A,fiesta,2,NULL,660,m,n,0.977358491,0.019622642,0.000754717,0.000754717,0.001509434,0.947924528,chaddly vs. jboy,"Point Zero One, D22",-90.0715323,29.9510658,New Orleans LA
zelllooo,2,f33tz,Dallas,TX,texas,creed_d23,1370,NA,9247100,NA,NA,NA,NA,NA,NA,A,easy,1,NULL,630,m,n,NA,NA,NA,NA,NA,NA,zelllooo vs. f33tz,"Creed, D23",-96.7969879,32.7766642,Dallas TX
zelllooo,2,f33tz,Dallas,TX,texas,seize_my_day_d22,1062,1050,6560900,1030,19,1,0,12,1013,A,easy,1,NULL,640,m,n,0.969868173,0.017890772,0.00094162,0,0.011299435,0.95386064,zelllooo vs. f33tz,"Seize My Day, D22",-96.7969879,32.7766642,Dallas TX
f33tz,2,zelllooo,Chino Hills,CA,socal,creed_d23,1370,1368,9296100,1270,90,8,0,2,1204,A,old,2,NULL,630,m,y,0.927007299,0.065693431,0.005839416,0,0.001459854,0.878832117,f33tz vs. zelllooo,"Creed, D23",-117.7325848,33.9898188,Chino Hills CA
f33tz,2,zelllooo,Chino Hills,CA,socal,seize_my_day_d22,1062,1062,6950100,1041,21,0,0,0,1062,Sg,old,2,NULL,630,m,y,0.980225989,0.019774011,0,0,0,1,f33tz vs. zelllooo,"Seize My Day, D22",-117.7325848,33.9898188,Chino Hills CA
zelllooo,3,jboy,Dallas,TX,texas,travel_to_the_future_d23,1111,1103,6775600,1040,61,1,1,8,891,A,easy,1,NULL,630,m,n,0.936093609,0.054905491,0.00090009,0.00090009,0.00720072,0.801980198,zelllooo vs. jboy,"Travel To The Future, D23",-96.7969879,32.7766642,Dallas TX
jboy,3,zelllooo,Raleigh,NC,nc,travel_to_the_future_d23,1111,1071,5641600,966,101,3,1,40,351,A,sheep,2,NULL,613,m,n,0.869486949,0.090909091,0.00270027,0.00090009,0.0360036,0.315931593,jboy vs. zelllooo,"Travel To The Future, D23",-78.6381787,35.7795897,Raleigh NC
chaddly,4,f33tz,New Orleans,LA,nola,infinity_d24,1209,1184,7578400,1118,52,10,4,25,726,A,fiesta,1,NULL,650,m,y,0.924731183,0.043010753,0.008271299,0.003308519,0.020678246,0.600496278,chaddly vs. f33tz,"Infinity, D24",-90.0715323,29.9510658,New Orleans LA
chaddly,4,f33tz,New Orleans,LA,nola,annihlator_method_d24,1313,1296,7642700,1160,97,28,11,17,455,A,fiesta,1,NULL,660,m,y,0.883472963,0.073876618,0.021325209,0.008377761,0.012947449,0.346534653,chaddly vs. f33tz,"Annihlator Method, D24",-90.0715323,29.9510658,New Orleans LA
f33tz,4,chaddly,Chino Hills,CA,socal,infinity_d24,1209,1202,8276200,1158,39,5,0,7,970,A,old,2,NULL,630,m,n,0.957816377,0.032258065,0.004135649,0,0.005789909,0.802315964,f33tz vs. chaddly,"Infinity, D24",-117.7325848,33.9898188,Chino Hills CA
f33tz,4,chaddly,Chino Hills,CA,socal,annihlator_method_d24,1313,1299,7759900,1205,78,11,5,14,575,A,old,2,NULL,640,m,n,0.917745621,0.059405941,0.008377761,0.003808073,0.010662605,0.437928408,f33tz vs. chaddly,"Annihlator Method, D24",-117.7325848,33.9898188,Chino Hills CA
