player,city,state,region,song_chart,vers,score,steps,perfects,greats,goods,bads,misses,max.combo,grade,noteskin,player_side,order,velocity,fd,mirror,perfects_ratio,greats_ratio,goods_ratio,bads_ratio,misses_ratio,max_combo_ratio,titles,lon,lat,locations,d_scr,rank
ramram,San Jose,CA,norcal,really_really_s04,prime2,94000,131,84,36,9,2,17,37,D,Prime 2,p1,1,206,n,n,0.567567568,0.243243243,0.060810811,0.013513514,0.114864865,0.25,"Really Really, S04",-121.8863286,37.3382082,San Jose CA,49.17,6
aj,,MN,minnesota,really_really_d07,prime2,376000,197,150,43,4,0,1,192,A,nx,NULL,2,154.5,n,n,0.757575758,0.217171717,0.02020202,0,0.005050505,0.96969697,"Really Really, D07",-94.6858998,46.729553, MN,63.67,2
001',Oakland,CA,norcal,step_dp02,prime2,195100,151,138,7,5,1,4,67,A,Prime 2,NULL,3,312,n,n,0.890322581,0.04516129,0.032258065,0.006451613,0.025806452,0.432258065,"Step , DP02",-122.2711137,37.8043637,Oakland CA,62,3
gabaum,Redwood City,CA,norcal,rhythm_ta_dp04,prime2,152400,138,112,20,4,2,2,56,A,Prime 2,NULL,4,164,n,n,0.8,0.142857143,0.028571429,0.014285714,0.014285714,0.4,"Rhythm Ta , DP04",-122.2363548,37.4852152,Redwood City CA,59.33,5
melvis,San Jose,CA,norcal,up_and_down_d05,prime2,156200,162,125,26,8,3,16,44,B,Prime 2,NULL,5,224,n,y,0.702247191,0.146067416,0.04494382,0.016853933,0.08988764,0.247191011,"Up And Down, D05",-121.8863286,37.3382082,San Jose CA,60.67,4
kanauru,Daly City,CA,norcal,boombayah_s04,prime2,121900,183,83,76,19,5,6,53,B,Prime 2,NULL,6,250,n,n,0.439153439,0.402116402,0.100529101,0.026455026,0.031746032,0.28042328,"Boombayah, S04",-122.4702079,37.6879241,Daly City CA,47,7
captain canada,Oakland,CA,norcal,elysium_dp02,prime,60600,75,56,13,6,0,28,12,F,Prime 2,NULL,7,256,n,n,0.54368932,0.126213592,0.058252427,0,0.27184466,0.116504854,"Elysium , DP02",-122.2711137,37.8043637,Oakland CA,0,DQ
dakree,Vallejo,CA,norcal,nakakapagpabagabag_dp04,prime2,142600,147,98,36,10,3,11,57,B,Prime 2,NULL,8,145,n,y,0.620253165,0.227848101,0.063291139,0.018987342,0.069620253,0.360759494,"Nakakapagpabagabag , DP04",-122.2566367,38.1040864,Vallejo CA,68.83,1
